chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM,abundance,
IV,769524,769938,YDR156W,0,+,2,300,414,0.645884701,not_preferential,
II,462869,465770,YBR112C,0,-,14,1570,2901,0.645216775,not_preferential,
V,232460,234740,YER041W,0,+,11,924,2280,0.645034853,not_preferential,
XII,1067086,1071235,YLR466W,0,+,20,1904,4149,0.64448365,not_preferential,
X,95091,95922,YJL174W,0,+,4,273,831,0.643552987,not_preferential,
IX,100780,102235,YIL131C,0,-,7,691,1455,0.643221259,not_preferential,
XIV,235995,237663,YNL219C,0,-,8,883,1668,0.641238049,not_preferential,
VIII,51110,52988,YHL027W,0,+,9,974,1878,0.640725878,not_preferential,
XIII,267173,267800,YML001W,0,+,3,162,627,0.639703986,not_preferential,
II,535259,536096,YBR146W,0,+,4,379,837,0.638939704,not_preferential,
VI,227512,229186,YFR037C,0,-,8,895,1674,0.638939704,not_preferential,
X,274861,278002,YJL084C,0,-,15,1484,3141,0.638482011,not_preferential,
IV,1272233,1273703,YDR402C,0,-,7,680,1470,0.636657777,not_preferential,
VII,313233,314283,YGL100W,0,+,5,516,1050,0.636657777,not_preferential,
XIV,87896,88736,YNL289W,0,+,4,321,840,0.636657777,not_preferential,
VIII,336336,337809,YHR113W,0,+,7,338,1473,0.635361122,not_preferential,
X,405587,407273,YJL016W,0,+,8,785,1686,0.634392091,not_preferential,
IV,553253,555152,YDR049W,0,+,9,759,1899,0.633640441,not_preferential,
VII,643147,643780,YGR081C,0,-,3,261,633,0.633640441,not_preferential,
XII,283184,283607,YLR076C,0,-,2,68,423,0.632142474,not_preferential,
II,623575,624211,YBR201W,0,+,3,7,636,0.630651571,not_preferential,
XIV,113270,116453,YNL278W,0,+,15,985,3183,0.630057178,not_preferential,
IV,107207,111029,YDL195W,0,+,18,1350,3822,0.629661538,not_preferential,
VIII,558013,559924,YHR218W,0,+,9,964,1911,0.629661538,not_preferential,
IX,398513,398726,YIR021W-A,0,+,1,64,213,0.627690766,not_preferential,
XIV,595622,597539,YNL020C,0,-,9,772,1917,0.627690766,not_preferential,
VIII,242581,245572,YHR073W,0,+,14,1612,2991,0.625802027,not_preferential,
X,26886,28596,YJL214W,0,+,8,996,1710,0.625488342,not_preferential,
VII,978035,979319,YGR244C,0,-,6,651,1284,0.624757632,not_preferential,
VI,101627,103127,YFL018C,0,-,7,497,1500,0.623924621,not_preferential,
XII,804345,805203,YLR338W,0,+,4,278,858,0.62330132,not_preferential,
XV,282420,285426,YOL021C,0,-,14,1167,3006,0.622679263,not_preferential,
V,94643,96578,YEL030W,0,+,9,834,1935,0.621851782,not_preferential,
X,704195,705272,YJR147W,0,+,5,634,1077,0.620696997,not_preferential,
V,491486,491702,YER158W-A,0,+,1,30,216,0.618972839,not_preferential,
VII,312192,312840,YGL101W,0,+,3,196,648,0.618972839,not_preferential,
V,328476,330207,YER086W,0,+,8,705,1731,0.617900095,not_preferential,
IV,54396,56346,YDL224C,0,-,9,882,1950,0.617068307,not_preferential,
II,616126,618523,YBR198C,0,-,11,931,2397,0.613550048,not_preferential,
XV,528940,530248,YOR110W,0,+,6,716,1308,0.613294189,not_preferential,
XIV,749135,750008,YNR064C,0,-,4,478,873,0.612591675,not_preferential,
IX,397293,398385,YIR021W,0,+,5,722,1092,0.612170939,not_preferential,
IX,144326,148709,YIL115C,0,-,20,2031,4383,0.610075898,not_preferential,
XIV,644319,646950,YNR011C,0,-,12,1021,2631,0.609797643,not_preferential,
VI,104700,106236,YFL016C,0,-,7,582,1536,0.609301388,not_preferential,
XI,339667,340546,YKL052C,0,-,4,344,879,0.608410162,not_preferential,
XII,524864,527945,YLR187W,0,+,14,971,3081,0.60752154,not_preferential,
XII,322296,323178,YLR091W,0,+,4,384,882,0.60634074,not_preferential,
XIV,635942,636383,YNR004W,0,+,2,225,441,0.60634074,not_preferential,
VIII,167676,168561,YHR029C,0,-,4,460,885,0.604285348,not_preferential,
VIII,218996,219884,YHR058C,0,-,4,443,888,0.602243843,not_preferential,
VI,10300,10969,YFL060C,0,-,3,181,669,0.599543198,not_preferential,
XIV,58897,59791,YNL305C,0,-,4,439,894,0.598201938,not_preferential,
XIV,13266,14163,YNL333W,0,+,4,470,897,0.596201263,not_preferential,
XII,326512,327415,YLR093C,0,-,4,255,903,0.592239792,not_preferential,
XII,556787,559289,YLR207W,0,+,11,532,2502,0.587801545,not_preferential,
XVI,594475,596296,YPR018W,0,+,8,832,1821,0.587361376,not_preferential,
XIV,746942,748766,YNR063W,0,+,8,879,1824,0.586395321,not_preferential,
XV,111430,111886,YOL108C,0,-,2,171,456,0.586395321,not_preferential,
II,306268,306955,YBR035C,0,-,3,163,687,0.583834643,not_preferential,
V,223366,225199,YER036C,0,-,8,679,1833,0.583516129,not_preferential,
XI,81034,82639,YKL191W,0,+,7,675,1605,0.583107123,not_preferential,
XVI,373792,375169,YPL092W,0,+,6,404,1377,0.582562672,not_preferential,
III,31448,33974,YCL054W,0,+,11,1132,2526,0.582216732,not_preferential,
XI,342851,345620,YKL050C,0,-,12,1143,2769,0.579406861,not_preferential,
VIII,556580,557042,YHR217C,0,-,2,19,462,0.578779797,not_preferential,
XI,22233,24084,YKL217W,0,+,8,739,1851,0.577841742,not_preferential,
VII,417482,418412,YGL043W,0,+,4,422,930,0.575045734,not_preferential,
VIII,480989,481919,YHR187W,0,+,4,399,930,0.575045734,not_preferential,
XVI,832060,833458,YPR152C,0,-,6,509,1398,0.57381173,not_preferential,
I,225459,226863,YAR071W,0,+,6,646,1404,0.571359543,not_preferential,
VI,103698,103932,YFL017W-A,0,+,1,65,234,0.571359543,not_preferential,
VII,717357,718527,YGR112W,0,+,5,443,1170,0.571359543,not_preferential,
VII,770568,771972,YGR141W,0,+,6,547,1404,0.571359543,not_preferential,
VIII,540548,540782,YHR213W-A,0,+,1,3,234,0.571359543,not_preferential,
V,96857,97796,YEL029C,0,-,4,336,939,0.569534114,not_preferential,
XII,781142,781379,YLR325C,0,-,1,91,237,0.564127144,not_preferential,
VII,545680,546157,YGR030C,0,-,2,280,477,0.560579175,not_preferential,
VII,984965,985685,YGR247W,0,+,3,274,720,0.557075555,not_preferential,
VII,1002522,1003962,YGR255C,0,-,6,585,1440,0.557075555,not_preferential,
XII,1055811,1056771,YLR457C,0,-,4,319,960,0.557075555,not_preferential,
II,465565,466048,YBR113W,0,+,2,171,483,0.553615458,not_preferential,
VII,1089745,1090228,YGR296C-B,0,-,2,74,483,0.553615458,not_preferential,
VIII,810,1293,YHL050W-A,0,+,2,93,483,0.553615458,not_preferential,
IX,845,1328,YIL177W-A,0,+,2,184,483,0.553615458,not_preferential,
XIII,826,1309,YML133W-B,0,+,2,225,483,0.553615458,not_preferential,
VII,762427,763153,YGR136W,0,+,3,310,726,0.552471625,not_preferential,
X,609772,610741,YJR095W,0,+,4,443,969,0.551901478,not_preferential,
VIII,543007,543493,YHR214W-A,0,+,2,208,486,0.550198079,not_preferential,
VII,23934,25395,YGL253W,0,+,6,422,1461,0.549068309,not_preferential,
XI,167611,168829,YKL149C,0,-,5,649,1218,0.548842911,not_preferential,
IV,768511,769000,YDR155C,0,-,2,129,489,0.54682263,not_preferential,
VIII,326812,328036,YHR107C,0,-,5,302,1224,0.546152505,not_preferential,
IX,397214,397949,YIR020C-B,0,-,3,344,735,0.545706666,not_preferential,
XIII,547713,549183,YMR140W,0,+,6,470,1470,0.545706666,not_preferential,
IX,423127,423619,YIR037W,0,+,2,162,492,0.543488346,not_preferential,
XV,106709,108188,YOL112W,0,+,6,620,1479,0.542385936,not_preferential,
X,339786,342255,YJL051W,0,+,10,943,2469,0.541507222,not_preferential,
IV,1393335,1394574,YDR465C,0,-,5,422,1239,0.539540489,not_preferential,
XII,6119,9836,YLL066C,0,-,15,1586,3717,0.539540489,not_preferential,
II,488904,490392,YBR126C,0,-,6,411,1488,0.539105376,not_preferential,
V,228455,229205,YER039C,0,-,3,187,750,0.534792533,not_preferential,
XV,34657,35407,YOL154W,0,+,3,271,750,0.534792533,not_preferential,
XII,17955,19707,YLL061W,0,+,7,588,1752,0.534182039,not_preferential,
I,113613,114615,YAL020C,0,-,4,19,1002,0.533725082,not_preferential,
VII,580434,581436,YGR043C,0,-,4,491,1002,0.533725082,not_preferential,
XIII,550205,551207,YMR142C,0,-,4,537,1002,0.533725082,not_preferential,
IX,40190,41444,YIL160C,0,-,5,473,1254,0.533086655,not_preferential,
XI,525386,526640,YKR048C,0,-,5,609,1254,0.533086655,not_preferential,
XV,94855,96361,YOL119C,0,-,6,361,1506,0.532661885,not_preferential,
III,27928,28936,YCL055W,0,+,4,412,1008,0.530548147,not_preferential,
IX,398732,399236,YIR022W,0,+,2,15,504,0.530548147,not_preferential,
XII,66744,68256,YLL036C,0,-,6,298,1512,0.530548147,not_preferential,
XVI,147415,148423,YPL215W,0,+,4,510,1008,0.530548147,not_preferential,
XV,219210,220473,YOL058W,0,+,5,374,1263,0.529287938,not_preferential,
XII,951155,953183,YLR413W,0,+,8,837,2028,0.527408809,not_preferential,
IV,592438,592948,YDR073W,0,+,2,90,510,0.524306404,not_preferential,
V,474040,474805,YER153C,0,-,3,274,765,0.524306404,not_preferential,
XIV,783286,783541,YNR077C,0,-,1,22,255,0.524306404,not_preferential,
XIV,86217,87240,YNL290W,0,+,4,455,1023,0.522768849,not_preferential,
VIII,325597,326626,YHR106W,0,+,4,375,1029,0.519720634,not_preferential,
IV,1061504,1062791,YDR300C,0,-,5,459,1287,0.519417767,not_preferential,
IX,41824,45952,YIL159W,0,+,16,1454,4128,0.518209818,not_preferential,
VIII,143995,146062,YHR020W,0,+,8,511,2067,0.5174577,not_preferential,
XV,923231,925040,YOR324C,0,-,7,756,1809,0.517350432,not_preferential,
III,63440,64481,YCL032W,0,+,4,546,1041,0.513729618,not_preferential,
IX,53980,55021,YIL154C,0,-,4,399,1041,0.513729618,not_preferential,
I,82705,83227,YAL033W,0,+,2,221,522,0.512253384,not_preferential,
VI,3321,3846,YFL064C,0,-,2,273,525,0.509326222,not_preferential,
VII,754725,755250,YGR131W,0,+,2,234,525,0.509326222,not_preferential,
VIII,487711,488236,YHR193C,0,-,2,225,525,0.509326222,not_preferential,
XIV,51906,52431,YNL310C,0,-,2,300,525,0.509326222,not_preferential,
VII,1000926,1002240,YGR254W,0,+,5,519,1314,0.508744799,not_preferential,
VII,763761,765606,YGR138C,0,-,7,528,1845,0.50725579,not_preferential,
VII,396034,397618,YGL056C,0,-,6,598,1584,0.506432323,not_preferential,
XV,28702,31606,YOL155C,0,-,11,1077,2904,0.506432323,not_preferential,
XV,217125,218448,YOL059W,0,+,5,471,1323,0.50528395,not_preferential,
XII,584,4301,YLL067C,0,-,14,1361,3717,0.503571123,not_preferential,
XII,368780,369311,YLR109W,0,+,2,82,531,0.503571123,not_preferential,
II,48824,49358,YBL090W,0,+,2,292,534,0.500742072,not_preferential,
II,391350,391617,YBR076C-A,0,-,1,79,267,0.500742072,not_preferential,
X,471137,471671,YJR025C,0,-,2,194,534,0.500742072,not_preferential,
XV,87843,89448,YOL123W,0,+,6,708,1605,0.499806105,not_preferential,
III,206876,207950,YCR044C,0,-,4,389,1074,0.49794463,not_preferential,
VIII,159437,160511,YHR025W,0,+,4,232,1074,0.49794463,not_preferential,
IV,593892,596583,YDR074W,0,+,10,857,2691,0.496834386,not_preferential,
IX,210922,212005,YIL079C,0,-,4,400,1083,0.493806586,not_preferential,
II,216586,217129,YBL006C,0,-,2,256,543,0.492442479,not_preferential,
VIII,3725,4541,YHL049C,0,-,3,178,816,0.491537254,not_preferential,
IX,155221,155765,YIL111W,0,+,2,160,544,0.491537254,not_preferential,
XI,520896,521712,YKR043C,0,-,3,110,816,0.491537254,not_preferential,
XIV,305069,306980,YNL176C,0,-,7,787,1911,0.489736751,not_preferential,
XV,1041677,1043042,YOR375C,0,-,5,497,1365,0.489736751,not_preferential,
IV,770356,771454,YDR158W,0,+,4,598,1098,0.487060594,not_preferential,
X,667643,669293,YJR131W,0,+,6,684,1650,0.48617503,not_preferential,
XIV,308956,310057,YNL173C,0,-,4,569,1101,0.485733454,not_preferential,
VII,479909,482666,YGL008C,0,-,10,825,2757,0.484940635,not_preferential,
III,118619,119171,YCR003W,0,+,2,151,552,0.484413526,not_preferential,
XIV,695051,695327,YNR037C,0,-,1,15,276,0.484413526,not_preferential,
XV,842816,843644,YOR278W,0,+,3,166,828,0.484413526,not_preferential,
II,612235,613900,YBR196C,0,-,6,600,1665,0.481795074,not_preferential,
IV,361698,362256,YDL053C,0,-,2,160,558,0.479204778,not_preferential,
VII,654633,656322,YGR088W,0,+,6,564,1689,0.474948963,not_preferential,
IX,383555,384119,YIR017C,0,-,2,231,564,0.474106855,not_preferential,
X,448476,448758,YJR005C-A,0,-,1,150,282,0.474106855,not_preferential,
XII,955009,956710,YLR417W,0,+,6,468,1701,0.471598353,not_preferential,
XV,81786,82920,YOL126C,0,-,4,407,1134,0.471598353,not_preferential,
IV,1508004,1509714,YDR536W,0,+,6,631,1710,0.469116257,not_preferential,
XII,374943,377238,YLR114C,0,-,8,843,2295,0.466050137,not_preferential,
V,394291,394867,YER115C,0,-,2,234,576,0.464229629,not_preferential,
V,574803,575379,YER190C-A,0,-,2,220,576,0.464229629,not_preferential,
VI,226021,226309,YFR034W-A,0,+,1,74,288,0.464229629,not_preferential,
XIV,1516,2092,YNL339W-A,0,+,2,300,576,0.464229629,not_preferential,
II,685437,686592,YBR234C,0,-,4,244,1155,0.463023838,not_preferential,
VII,775192,777508,YGR143W,0,+,8,968,2316,0.461824294,not_preferential,
III,35864,37616,YCL051W,0,+,6,805,1752,0.457870319,not_preferential,
III,208134,209610,YCR045C,0,-,5,372,1476,0.452906955,not_preferential,
II,487198,488380,YBR125C,0,-,4,552,1182,0.452447151,not_preferential,
IV,693584,694175,YDR121W,0,+,2,81,591,0.452447151,not_preferential,
VI,244278,245166,YFR047C,0,-,3,115,888,0.451682882,not_preferential,
V,571479,576525,YER190W,0,+,17,2185,5046,0.450429699,not_preferential,
IX,46948,47542,YIL157C,0,-,2,300,594,0.450162064,not_preferential,
XV,162355,165331,YOL084W,0,+,10,1030,2976,0.44925448,not_preferential,
XVI,303120,304014,YPL131W,0,+,3,341,894,0.448651454,not_preferential,
IV,1524633,1524933,YDR543C,0,-,1,84,300,0.445660444,not_preferential,
V,569607,569907,YER188C-A,0,-,1,125,300,0.445660444,not_preferential,
IX,383565,384165,YIR017W-A,0,+,2,231,600,0.445660444,not_preferential,
X,392403,393603,YJL026W,0,+,4,536,1200,0.445660444,not_preferential,
V,83049,84552,YEL036C,0,-,5,223,1503,0.444770902,not_preferential,
XV,392415,394524,YOR033C,0,-,7,570,2109,0.443758621,not_preferential,
II,202055,203261,YBL013W,0,+,4,321,1206,0.443443228,not_preferential,
VIII,502387,504196,YHR202W,0,+,6,653,1809,0.443443228,not_preferential,
XII,517939,520351,YLR182W,0,+,8,621,2412,0.443443228,not_preferential,
XI,534066,535281,YKR053C,0,-,4,506,1215,0.440158463,not_preferential,
I,129269,130487,YAL013W,0,+,4,416,1218,0.439074329,not_preferential,
XIII,285099,286317,YMR010W,0,+,4,366,1218,0.439074329,not_preferential,
V,4869,5481,YEL075W-A,0,+,2,157,612,0.436922004,not_preferential,
V,441574,441880,YER137W-A,0,+,1,24,306,0.436922004,not_preferential,
VII,225571,225877,YGL149W,0,+,1,68,306,0.436922004,not_preferential,
X,545786,548243,YJR059W,0,+,8,877,2457,0.435321557,not_preferential,
IV,766735,767971,YDR153C,0,-,4,364,1236,0.432680043,not_preferential,
VI,3029,3338,YFL065C,0,-,1,14,309,0.432680043,not_preferential,
XV,424845,426084,YOR051C,0,-,4,490,1239,0.431632391,not_preferential,
XIV,424894,426754,YNL104C,0,-,6,660,1860,0.4312843,not_preferential,
XV,521352,522282,YOR107W,0,+,3,271,930,0.4312843,not_preferential,
IV,1478607,1480161,YDR518W,0,+,5,477,1554,0.430174174,not_preferential,
XII,560796,561732,YLR209C,0,-,3,333,936,0.428519658,not_preferential,
XV,44472,44784,YOL150C,0,-,1,15,312,0.428519658,not_preferential,
XV,310311,310935,YOL008W,0,+,2,153,624,0.428519658,not_preferential,
XV,1039839,1041399,YOR374W,0,+,5,750,1560,0.428519658,not_preferential,
VIII,560172,562047,YHR219W,0,+,6,400,1875,0.427834026,not_preferential,
XII,522662,523288,YLR185W,0,+,2,260,626,0.427150585,not_preferential,
XIII,793725,794667,YMR262W,0,+,3,181,942,0.425790233,not_preferential,
I,110845,113359,YAL021C,0,-,8,1117,2514,0.425451498,not_preferential,
II,533234,533549,YBR144C,0,-,1,126,315,0.424438518,not_preferential,
IV,553083,553398,YDR048C,0,-,1,74,315,0.424438518,not_preferential,
XI,25214,26159,YKL216W,0,+,3,345,945,0.424438518,not_preferential,
II,47362,48628,YBL091C,0,-,4,412,1266,0.422426961,not_preferential,
X,84067,85336,YJL183W,0,+,4,439,1269,0.421428316,not_preferential,
II,2581,2899,YBL112C,0,-,1,75,318,0.420434381,not_preferential,
IX,249990,251913,YIL056W,0,+,6,593,1923,0.417154862,not_preferential,
VIII,238909,239230,YHR071C-A,0,-,1,123,321,0.416505088,not_preferential,
IX,99859,100501,YIL132C,0,-,2,288,642,0.416505088,not_preferential,
XV,74399,76979,YOL130W,0,+,8,795,2580,0.414567855,not_preferential,
XII,611793,612117,YLR236C,0,-,1,143,324,0.412648559,not_preferential,
XII,16638,17613,YLL062C,0,-,3,407,975,0.411378871,not_preferential,
XIII,288078,289704,YMR011W,0,+,5,621,1626,0.411125871,not_preferential,
VII,494516,495167,YGL002W,0,+,2,175,651,0.410746953,not_preferential,
XII,828729,829380,YLR350W,0,+,2,300,651,0.410746953,not_preferential,
X,419854,420181,YJL009W,0,+,1,58,327,0.408862792,not_preferential,
X,519637,521602,YJR045C,0,-,6,321,1965,0.408238574,not_preferential,
XII,146290,147601,YLL002W,0,+,4,459,1311,0.40792718,not_preferential,
X,469783,470113,YJR022W,0,+,1,27,330,0.405145858,not_preferential,
I,23999,27968,YAL063C,0,-,12,898,3969,0.40422716,not_preferential,
I,174997,175330,YAR019W-A,0,+,1,150,333,0.401495895,not_preferential,
XII,282926,283592,YLR075W,0,+,2,79,666,0.401495895,not_preferential,
XII,447981,448314,YLR154C,0,-,1,78,333,0.401495895,not_preferential,
XV,416346,417681,YOR047C,0,-,4,482,1335,0.400593657,not_preferential,
XIII,214085,214421,YML031C-A,0,-,1,144,336,0.397911111,not_preferential,
XV,427832,429857,YOR054C,0,-,6,692,2025,0.396142617,not_preferential,
XVI,623526,624202,YPR028W,0,+,2,201,676,0.395556607,not_preferential,
IX,134416,136108,YIL120W,0,+,5,293,1692,0.395089046,not_preferential,
II,161698,162715,YBL031W,0,+,3,382,1017,0.394389773,not_preferential,
X,468554,469579,YJR021C,0,-,3,222,1025,0.391311609,not_preferential,
VI,226120,226465,YFR035C,0,-,1,18,345,0.387530821,not_preferential,
XV,430246,431626,YOR056C,0,-,4,600,1380,0.387530821,not_preferential,
V,159579,160275,YER004W,0,+,2,165,696,0.384190038,not_preferential,
XV,424269,424617,YOR050C,0,-,1,102,348,0.384190038,not_preferential,
XI,96756,98157,YKL184W,0,+,4,521,1401,0.381722008,not_preferential,
X,314083,314434,YJL067W,0,+,1,23,351,0.380906362,not_preferential,
I,188106,188811,YAR033W,0,+,2,207,705,0.379285484,not_preferential,
XV,722564,722918,YOR203W,0,+,1,63,354,0.377678342,not_preferential,
VI,23422,25198,YFL053W,0,+,5,481,1776,0.376402402,not_preferential,
XV,286171,287950,YOL020W,0,+,5,496,1779,0.375767659,not_preferential,
XV,220766,222902,YOL057W,0,+,6,463,2136,0.375556554,not_preferential,
II,379220,379934,YBR070C,0,-,2,138,714,0.374504575,not_preferential,
VIII,246192,248337,YHR074W,0,+,6,729,2145,0.373980792,not_preferential,
XVI,150613,151330,YPL213W,0,+,2,202,717,0.37293761,not_preferential,
II,683372,683732,YBR232C,0,-,1,140,360,0.371383703,not_preferential,
V,568039,568759,YER188W,0,+,2,300,720,0.371383703,not_preferential,
XI,92743,93465,YKL186C,0,-,2,232,722,0.370354939,not_preferential,
XV,756475,757558,YOR221C,0,-,3,416,1083,0.370354939,not_preferential,
XI,515062,516871,YKR039W,0,+,5,482,1809,0.369536023,not_preferential,
II,141246,141972,YBL041W,0,+,2,2,726,0.368314416,not_preferential,
V,63727,64090,YEL049W,0,+,1,28,363,0.368314416,not_preferential,
XII,13082,13445,YLL064C,0,-,1,150,363,0.368314416,not_preferential,
III,313889,314981,YCR107W,0,+,3,148,1092,0.367302564,not_preferential,
XV,1043190,1043559,YOR376W,0,+,1,127,369,0.362325564,not_preferential,
XVI,592331,593069,YPR016C,0,-,2,49,738,0.362325564,not_preferential,
IV,1011588,1011960,YDR274C,0,-,1,65,372,0.359403584,not_preferential,
IV,1436216,1436588,YDR493W,0,+,1,121,372,0.359403584,not_preferential,
VI,248522,248894,YFR049W,0,+,1,27,372,0.359403584,not_preferential,
IX,144267,144639,YIL115W-A,0,+,1,150,372,0.359403584,not_preferential,
XVI,590282,591026,YPR015C,0,-,2,256,744,0.359403584,not_preferential,
VII,846932,848423,YGR175C,0,-,4,446,1491,0.358680438,not_preferential,
III,52644,54882,YCL039W,0,+,6,772,2238,0.358440035,not_preferential,
XI,518197,518950,YKR041W,0,+,2,160,753,0.355107923,not_preferential,
VII,20977,22108,YGL255W,0,+,3,221,1131,0.354636958,not_preferential,
X,705743,706874,YJR148W,0,+,3,444,1131,0.354636958,not_preferential,
XII,1059756,1060887,YLR460C,0,-,3,321,1131,0.354636958,not_preferential,
XII,327729,329238,YLR094C,0,-,4,459,1509,0.354401943,not_preferential,
XII,68579,70478,YLL035W,0,+,5,647,1899,0.352022467,not_preferential,
V,228450,228831,YER038W-A,0,+,1,86,381,0.350913735,not_preferential,
XII,540808,541573,YLR194C,0,-,2,253,765,0.349537603,not_preferential,
XI,169206,171129,YKL148C,0,-,5,558,1923,0.347629051,not_preferential,
XI,511998,513159,YKR038C,0,-,3,263,1161,0.345473212,not_preferential,
IX,51758,53708,YIL155C,0,-,5,580,1950,0.342815726,not_preferential,
VII,991175,993521,YGR250C,0,-,6,666,2346,0.341938959,not_preferential,
XII,1057333,1058518,YLR459W,0,+,3,411,1185,0.338476286,not_preferential,
XII,953352,954144,YLR414C,0,-,2,288,792,0.337621548,not_preferential,
XIII,494099,494495,YMR112C,0,-,1,90,396,0.337621548,not_preferential,
XII,342969,343767,YLR102C,0,-,2,227,798,0.33508304,not_preferential,
III,65933,68333,YCL030C,0,-,6,405,2400,0.334245333,not_preferential,
XIII,92234,94241,YML088W,0,+,5,616,2007,0.333079554,not_preferential,
IX,422634,423036,YIR036W-A,0,+,1,13,402,0.332582421,not_preferential,
X,469803,470205,YJR023C,0,-,1,7,402,0.332582421,not_preferential,
XI,526829,527231,YKR049C,0,-,1,105,402,0.332582421,not_preferential,
VIII,499078,499885,YHR200W,0,+,2,65,807,0.331346055,not_preferential,
IX,333726,334536,YIL011W,0,+,2,215,810,0.330118847,not_preferential,
II,43276,44089,YBL095W,0,+,2,211,813,0.328900697,not_preferential,
IV,598467,599688,YDR076W,0,+,3,344,1221,0.328496642,not_preferential,
XV,309323,310139,YOL009C,0,-,2,246,816,0.327691503,not_preferential,
VIII,444,3311,YHL050C,0,-,7,595,2867,0.326434228,not_preferential,
II,683427,684669,YBR233W,0,+,3,385,1242,0.322942351,not_preferential,
VII,490702,491956,YGL004C,0,-,3,284,1254,0.319851993,not_preferential,
XIII,541198,542881,YMR136W,0,+,4,395,1683,0.317761457,not_preferential,
XIII,460,4684,YML133C,0,-,10,924,4224,0.316520202,not_preferential,
IV,201718,202570,YDL142C,0,-,2,274,852,0.313845383,not_preferential,
XIV,424154,424583,YNL105W,0,+,1,94,429,0.31165066,not_preferential,
VII,755588,756452,YGR132C,0,-,2,239,864,0.309486419,not_preferential,
XVI,593485,593917,YPR017C,0,-,1,120,432,0.309486419,not_preferential,
XII,765654,766089,YLR317W,0,+,1,35,435,0.30735203,not_preferential,
XV,429477,429912,YOR055W,0,+,1,103,435,0.30735203,not_preferential,
VII,527631,528504,YGR021W,0,+,2,300,873,0.306295838,not_preferential,
XII,829488,830364,YLR351C,0,-,2,282,876,0.305246879,not_preferential,
XVI,944602,947701,YPR204W,0,+,7,643,3099,0.301996429,not_preferential,
VII,905236,905683,YGR203W,0,+,1,124,447,0.299100969,not_preferential,
XVI,428710,429616,YPL064C,0,-,2,300,906,0.295139367,not_preferential,
XIV,602906,604268,YNL016W,0,+,3,326,1362,0.29448928,not_preferential,
IV,362671,363583,YDL052C,0,-,2,294,912,0.29319766,not_preferential,
X,451019,451934,YJR007W,0,+,2,219,915,0.292236357,not_preferential,
II,376573,378433,YBR069C,0,-,4,559,1860,0.287522867,not_preferential,
XII,1066571,1067501,YLR464W,0,+,2,202,930,0.287522867,not_preferential,
IV,369770,370706,YDL047W,0,+,2,287,936,0.285679772,not_preferential,
XV,337679,338621,YOR006C,0,-,2,300,942,0.283860155,not_preferential,
XII,511053,512940,YLR177W,0,+,4,322,1887,0.283408867,not_preferential,
X,524907,525381,YJR047C,0,-,1,8,474,0.282063572,not_preferential,
XV,924576,925050,YOR325W,0,+,1,130,474,0.282063572,not_preferential,
III,76017,77919,YCL025C,0,-,4,325,1902,0.281173782,not_preferential,
II,279,2658,YBL113C,0,-,5,595,2379,0.280996497,not_preferential,
I,124878,126786,YAL016W,0,+,4,303,1908,0.280289587,not_preferential,
VI,30057,30540,YFL051C,0,-,1,114,483,0.276807729,not_preferential,
X,828,1311,YJL225W-A,0,+,1,150,483,0.276807729,not_preferential,
XII,1070386,1070869,YLR466C-A,0,-,1,93,483,0.276807729,not_preferential,
XVI,642,1125,YPL283W-B,0,+,1,67,483,0.276807729,not_preferential,
IV,366738,368211,YDL048C,0,-,3,443,1473,0.272297624,not_preferential,
VII,124697,129161,YGL197W,0,+,9,1048,4464,0.269552688,not_preferential,
XIII,542977,544963,YMR137C,0,-,4,481,1986,0.269281235,not_preferential,
VI,246145,248134,YFR048W,0,+,4,394,1989,0.268875079,not_preferential,
X,94048,94561,YJL175W,0,+,1,19,513,0.260620143,not_preferential,
XV,43693,44722,YOL151W,0,+,2,300,1029,0.259860317,not_preferential,
XV,305348,307409,YOL011W,0,+,4,492,2061,0.259482063,not_preferential,
III,54940,56527,YCL038C,0,-,3,319,1587,0.252737492,not_preferential,
II,192450,193512,YBL016W,0,+,2,255,1062,0.251785561,not_preferential,
XII,710990,712058,YLR287C,0,-,2,300,1068,0.250371036,not_preferential,
XIII,539910,540444,YMR135W-A,0,+,1,146,534,0.250371036,not_preferential,
VII,55278,55815,YGL235W,0,+,1,5,537,0.248972315,not_preferential,
V,469685,472424,YER151C,0,-,5,397,2739,0.24406377,not_preferential,
X,608304,608858,YJR094W-A,0,+,1,53,554,0.24133237,not_preferential,
VII,383653,384766,YGL063W,0,+,2,300,1113,0.240248218,not_preferential,
IX,186516,187632,YIL094C,0,-,2,19,1116,0.239602389,not_preferential,
IX,419614,420736,YIR034C,0,-,2,260,1122,0.238321093,not_preferential,
XV,272002,273724,YOL027C,0,-,3,384,1722,0.232923577,not_preferential,
III,105695,106853,YCL008C,0,-,2,27,1158,0.230912147,not_preferential,
VII,1048797,1049958,YGR279C,0,-,2,257,1161,0.230315475,not_preferential,
X,113877,115629,YJL162C,0,-,3,381,1752,0.228935159,not_preferential,
VII,476312,478652,YGL009C,0,-,4,522,2340,0.228543817,not_preferential,
III,250237,252628,YCR077C,0,-,4,450,2391,0.223668981,not_preferential,
XV,523026,524841,YOR108W,0,+,3,450,1815,0.22098865,not_preferential,
II,212631,216366,YBL007C,0,-,6,677,3735,0.214776118,not_preferential,
